"Time"	"FZ"	"FCZ"	"CZ"	"CPZ"	"PZ"	"F3"	"F4"	"FC3"	"FC4"	"C3"	"C4"	"CP3"	"CP4"	"P3"	"P4"	"F1"	"F2"	"C1"	"C2"	"P1"	"P2"	"Subject"	"Condition"
"1"	-400	-1.36598666666667	-2.29337333333333	-2.99208	-3.11857333333333	-2.76211333333333	-2.33913333333333	-2.81668666666667	-2.15066	-4.16998666666667	-1.84857333333333	-2.61726	-1.28956	-1.35392	-0.299246666666666	-4.36842	-1.80856	-3.12168666666667	-4.7333	-4.49041333333333	-2.31715333333333	-3.82214666666667	"079"	"Incorrect"
"2"	-398	-1.56605333333333	-2.58577333333333	-3.29596666666667	-3.4066	-2.96153333333333	-2.34175333333333	-3.05733333333333	-2.32790666666667	-4.3133	-2.2271	-2.70392	-1.63029333333333	-1.55197333333333	-0.712566666666667	-4.42216	-1.48128666666667	-2.83385333333333	-4.54556	-4.30639333333333	-2.07671333333333	-3.45919333333333	"079"	"Incorrect"
"3"	-396	-1.95322666666667	-3.02086	-3.59223333333333	-3.62608	-3.06627333333333	-2.61039333333333	-3.39877333333333	-2.67119333333333	-4.51842666666667	-2.6367	-2.73954	-1.89177333333333	-1.61289333333333	-1.02072666666667	-4.29919333333333	-1.17580666666667	-2.51966	-4.25693333333333	-3.97706	-1.69298	-2.91664	"079"	"Incorrect"
"4"	-394	-2.51525333333333	-3.62322666666667	-3.93071333333333	-3.86024666666667	-3.20742	-3.19896666666667	-3.88034666666667	-3.23071333333333	-4.81595333333333	-3.12414	-2.78850666666667	-2.14472666666667	-1.68529333333333	-1.28893333333333	-4.17746666666667	-1.21581333333333	-2.52012	-4.19764	-3.82693333333333	-1.49751333333333	-2.59498	"079"	"Incorrect"
"5"	-392	-2.95335333333333	-4.16518666666667	-4.19533333333333	-4.1319	-3.52108666666667	-3.69456666666667	-4.20329333333333	-3.73382	-4.97022666666667	-3.54271333333333	-2.74666666666667	-2.40090666666667	-1.85622	-1.67704666666667	-4.27386666666667	-1.45327333333333	-2.70999333333333	-4.34908666666667	-3.87222	-1.63584	-2.66693333333333	"079"	"Incorrect"
"6"	-390	-2.98961333333333	-4.35303333333333	-4.15694666666667	-4.17704666666667	-3.73987333333333	-3.70967333333333	-4.11588	-3.82478666666667	-4.74228666666667	-3.57828666666667	-2.37252	-2.40251333333333	-1.87394666666667	-1.91464	-4.35999333333333	-1.57822	-2.77943333333333	-4.41368666666667	-3.87174666666667	-1.84925333333333	-2.87264666666667	"079"	"Incorrect"
"7"	-388	-2.84616	-4.30726	-3.8958	-3.95604666666667	-3.69676666666667	-3.54005333333333	-3.83525333333333	-3.66516666666667	-4.27544	-3.35128	-1.7151	-2.16822666666667	-1.61696	-1.89493333333333	-4.17628666666667	-1.63276	-2.74469333333333	-4.32382	-3.7317	-1.95054	-2.98695333333333	"079"	"Incorrect"
"8"	-386	-2.68574666666667	-4.14973333333333	-3.48572666666667	-3.55637333333333	-3.42315333333333	-3.40142	-3.49456666666667	-3.42084666666667	-3.69019333333333	-3.06342666666667	-0.901386666666667	-1.92829333333333	-1.14456	-1.85460666666667	-3.71524666666667	-1.64195333333333	-2.61536666666667	-4.08476	-3.39541333333333	-1.93504	-2.89882666666667	"079"	"Incorrect"
"9"	-384	-2.41763333333333	-3.83214	-2.86324	-2.99533333333333	-2.93587333333333	-3.13982	-3.08060666666667	-3.02740666666667	-2.98559333333333	-2.69460666666667	0.00997999999999982	-1.70709333333333	-0.518806666666667	-1.83388	-3.15371333333333	-1.52214	-2.33741333333333	-3.64556666666667	-2.83462666666667	-1.80678666666667	-2.57998666666667	"079"	"Incorrect"
"10"	-382	-2.08167333333333	-3.37087333333333	-2.05684	-2.31454666666667	-2.29086	-2.74410666666667	-2.62831333333333	-2.53003333333333	-2.25916666666667	-2.24676	0.88714	-1.37472666666667	0.1281	-1.66168666666667	-2.69373333333333	-1.30899333333333	-1.97931333333333	-3.04952666666667	-2.13998	-1.54788	-2.14247333333333	"079"	"Incorrect"
"11"	-380	-1.99786666666667	-3.04229333333333	-1.40144666666667	-1.80947333333333	-1.86632	-2.65164	-2.30928666666667	-2.27906666666667	-1.80388	-2.04654	1.42707333333333	-1.1674	0.446346666666667	-1.57105333333333	-2.64695333333333	-1.20914	-1.72302	-2.52785333333333	-1.51545333333333	-1.32391333333333	-1.84054	"079"	"Incorrect"
"12"	-378	-2.41174	-3.18832666666667	-1.28782	-1.89528666666667	-2.13642666666667	-3.20211333333333	-2.44262	-2.5392	-1.91478	-2.41204666666667	1.353	-1.47736666666667	0.0986266666666667	-2.01063333333333	-3.32398666666667	-1.42626666666667	-1.75166666666667	-2.33538	-1.20968	-1.44348666666667	-1.95422	"079"	"Incorrect"
"13"	-376	-3.05377333333333	-3.60442	-1.46003333333333	-2.29233333333333	-2.72260666666667	-3.93645333333333	-2.90414	-2.96682	-2.29028	-2.9784	1.03446	-2.02637333333333	-0.48422	-2.6947	-4.19401333333333	-1.91992	-2.06263333333333	-2.42079333333333	-1.20788	-1.87021333333333	-2.34996	"079"	"Incorrect"
