"Time"	"FZ"	"FCZ"	"CZ"	"CPZ"	"PZ"	"F3"	"F4"	"FC3"	"FC4"	"C3"	"C4"	"CP3"	"CP4"	"P3"	"P4"	"F1"	"F2"	"C1"	"C2"	"P1"	"P2"	"Subject"	"Condition"
"1"	-400	-2.0961	-2.7906	-0.615375	-0.56045	-0.180925	-2.0011	-3.328275	-2.54025	-2.3653	-0.4467	-0.469675	0.767975	-1.787675	0.14035	-1.9474	-8.030675	-8.715025	-5.643675	-6.426675	-4.751725	-3.45345	"089"	"Incorrect"
"2"	-398	-1.798675	-2.4655	-0.141775	0.0647999999999997	0.412875	-1.723625	-3.61275	-2.27875	-2.16465	-0.16515	-0.301725	1.15105	-1.223775	0.6025	-1.498975	-7.84475	-8.714175	-5.3756	-6.2474	-4.3663	-3.356475	"089"	"Incorrect"
"3"	-396	-2.11755	-2.71905	-0.15375	0.155625	0.502675	-2.027375	-4.25295	-2.49395	-2.465875	-0.36875	-0.5737	1.09835	-1.094375	0.6281	-1.43335	-7.814275	-8.84925	-5.22645	-6.188475	-4.01445	-3.2601	"089"	"Incorrect"
"4"	-394	-2.9386	-3.444375	-0.526	-0.144275	0.236125	-2.8348	-5.04605	-3.068625	-3.0677	-0.878825	-1.029575	0.78725	-1.223425	0.35055	-1.557175	-7.9833	-9.1577	-5.207225	-6.249	-3.758725	-3.1599	"089"	"Incorrect"
"5"	-392	-4.00105	-4.43235	-1.1084	-0.629525	-0.1917	-3.9207	-5.8603	-3.774175	-3.8522	-1.4642	-1.536375	0.3534	-1.42385	-0.0144	-1.750325	-8.289725	-9.586075	-5.24025	-6.375275	-3.5479	-3.005075	"089"	"Incorrect"
"6"	-390	-5.270625	-5.647125	-1.96175	-1.32885	-0.758375	-5.370525	-6.79865	-4.674375	-4.866325	-2.225575	-2.15515	-0.273775	-1.831025	-0.429225	-2.10845	-8.7862	-10.1849	-5.409825	-6.6062	-3.431325	-2.832125	"089"	"Incorrect"
"7"	-388	-6.67035	-7.07405	-3.1159	-2.336075	-1.479525	-7.089425	-7.882075	-5.908225	-5.9855	-3.328375	-3.000175	-1.163575	-2.567525	-0.92065	-2.6705	-9.549175	-11.013125	-5.86325	-7.150975	-3.544	-3.140975	"089"	"Incorrect"
"8"	-386	-8.003725	-8.546525	-4.420325	-3.577925	-2.394775	-8.675575	-9.05385	-7.308775	-7.1189	-4.60355	-4.135525	-2.258	-3.57175	-1.5259	-3.45645	-10.457625	-11.964125	-6.53905	-8.06215	-3.903425	-4.197075	"089"	"Incorrect"
"9"	-384	-9.218375	-9.88585	-5.7608	-4.9702	-3.608375	-10.013425	-10.208775	-8.625925	-8.2916	-5.862425	-5.39705	-3.54035	-4.792575	-2.37415	-4.58415	-11.40975	-12.95345	-7.36905	-9.084	-4.53875	-5.40725	"089"	"Incorrect"
"10"	-382	-10.05265	-10.80225	-6.916225	-6.290625	-4.944825	-10.862275	-10.927475	-9.53945	-9.22585	-6.8413	-6.452375	-4.75665	-6.0043	-3.312325	-5.87495	-12.263475	-13.807375	-8.265375	-10.023225	-5.445275	-6.4177	"089"	"Incorrect"
