"Time"	"FZ"	"FCZ"	"CZ"	"CPZ"	"PZ"	"F3"	"F4"	"FC3"	"FC4"	"C3"	"C4"	"CP3"	"CP4"	"P3"	"P4"	"F1"	"F2"	"C1"	"C2"	"P1"	"P2"	"Subject"	"Condition"
"1"	-400	-9.8083	-11.1239	-11.28315	-13.3238	-13.9821	-12.03	-7.41535	-10.66145	-9.0314	-13.40465	-11.39515	-14.33115	-10.0841	-11.24195	-11.3072	-8.85675	-5.84785	-12.35745	-12.081	-11.3125	-11.94115	"069"	"Incorrect"
"2"	-398	-8.1327	-9.40555	-9.3325	-11.24185	-11.6813	-10.21915	-5.25405	-8.9926	-6.79495	-11.81485	-8.8479	-12.89155	-7.3432	-9.5437	-8.4441	-8.28185	-4.89345	-11.89085	-10.9773	-10.3901	-10.3817	"069"	"Incorrect"
"3"	-396	-6.40675	-7.4922	-7.0281	-8.87525	-8.9721	-8.4341	-3.0295	-7.1433	-4.4642	-9.9992	-6.1429	-11.1734	-4.38845	-7.5025	-5.33655	-7.09995	-3.20725	-10.6475	-9.1283	-8.68805	-7.9659	"069"	"Incorrect"
"4"	-394	-5.1095	-6.027	-5.083	-6.94275	-6.7043	-7.09935	-1.61585	-5.73585	-2.8797	-8.52875	-4.08655	-9.7675	-1.97335	-5.87215	-2.868	-5.7916	-1.3191	-9.051	-6.9916	-6.68115	-5.2498	"069"	"Incorrect"
"5"	-392	-4.2364	-5.09885	-3.882	-5.8474	-5.42275	-6.12265	-1.31335	-4.83525	-2.3481	-7.5366	-3.1119	-8.9914	-0.6168	-5.05535	-1.6013	-4.5002	0.35395	-7.479	-5.05745	-4.85605	-2.8468	"069"	"Incorrect"
"6"	-390	-3.64595	-4.5278	-3.31955	-5.3961	-4.953	-5.26775	-1.63225	-4.2783	-2.50915	-6.95265	-2.9238	-8.6902	-0.1988	-4.826	-1.3804	-3.33005	1.61345	-6.16925	-3.59705	-3.4421	-1.0562	"069"	"Incorrect"
"7"	-388	-3.3535	-4.21125	-3.1629	-5.2525	-4.8454	-4.47075	-2.03375	-4.11105	-2.84545	-6.7133	-3.02375	-8.61555	-0.22335	-4.71895	-1.6816	-2.43775	2.44405	-5.20525	-2.61445	-2.4131	0.1332	"069"	"Incorrect"
"8"	-386	-3.40345	-4.1355	-3.28705	-5.35285	-5.04415	-3.85265	-2.44465	-4.1553	-3.2146	-6.69345	-3.34915	-8.7218	-0.563	-4.68745	-2.3699	-2.0534	2.6355	-4.72545	-2.2182	-1.91255	0.5907	"069"	"Incorrect"
"9"	-384	-3.83145	-4.41235	-3.73505	-5.8887	-5.82525	-3.8803	-2.92655	-4.3529	-3.6319	-6.99435	-3.9531	-9.2434	-1.2319	-5.30155	-3.53875	-2.5521	1.8982	-5.04315	-2.5899	-2.3388	0.1089	"069"	"Incorrect"
"10"	-382	-3.7911	-4.27385	-3.79035	-6.20475	-6.47645	-4.0995	-2.6399	-4.19385	-3.25405	-7.08695	-3.96365	-9.6767	-1.3762	-6.17225	-4.24825	-3.3633	0.9576	-5.77295	-3.1891	-3.3917	-0.786799999999999	"069"	"Incorrect"
"11"	-380	-2.15585	-2.6837	-2.50565	-5.37775	-6.06655	-3.1856	-0.6297	-2.7728	-1.33785	-6.02185	-2.6356	-9.0893	-0.34415	-6.1655	-3.73775	-3.31525	0.97595	-6.03735	-3.2555	-4.27945	-1.4119	"069"	"Incorrect"
"12"	-378	0.72655	-0.0673	-0.32235	-3.7508	-4.9019	-1.02435	2.32975	-0.5554	1.3709	-4.21125	-0.62375	-7.77085	1.29495	-5.4046	-2.55025	-2.06285	2.1329	-5.5981	-2.64945	-4.6965	-1.59285	"069"	"Incorrect"
"13"	-376	3.5018	2.3723	1.72735	-2.10135	-3.5682	1.3048	4.8194	1.3166	3.7227	-2.70255	1.1711	-6.50775	2.8502	-4.5815	-1.2247	-0.0612500000000002	3.9255	-4.61335	-1.54075	-4.5132	-1.21	"069"	"Incorrect"
"14"	-374	5.13	3.83735	3.0281	-0.9086	-2.49465	2.85925	6.10415	2.4968	5.003	-1.7673	2.18735	-5.5406	3.79185	-3.91835	-0.21535	1.7522	5.57245	-3.48965	-0.43375	-3.8813	-0.57225	"069"	"Incorrect"
"15"	-372	5.7354	4.42135	3.62255	-0.146	-1.74795	3.6329	6.3807	3.26245	5.3152	-1.0768	2.48055	-4.72525	4.0951	-3.29415	0.37345	2.8218	6.60475	-2.6547	0.27415	-3.1726	-0.0867999999999998	"069"	"Incorrect"
"16"	-370	6.1275	4.82115	4.182	0.7577	-0.7188	4.054	6.7013	3.91915	5.589	-0.27275	2.86965	-3.7169	4.5085	-2.27565	1.17005	3.5392	7.4154	-1.92855	0.9006	-2.2483	0.54505	"069"	"Incorrect"
"17"	-368	6.1369	4.9324	4.72205	1.60955	0.44415	3.8285	7.2138	4.17095	5.9172	0.2321	3.45295	-2.89465	5.1159	-1.2199	2.1166	4.0512	8.13165	-1.2263	1.5988	-1.15095	1.42265	"069"	"Incorrect"
"18"	-366	5.2191	4.3088	4.73	1.84135	1.0892	2.8839	7.14535	3.7562	5.7104	-0.0454499999999998	3.745	-2.8751	5.5222	-0.88775	2.87915	4.1639	8.40855	-0.7527	2.15645	-0.24595	2.344	"069"	"Incorrect"
"19"	-364	3.7097	3.2389	4.2584	1.64965	1.3519	1.68615	6.47815	2.8901	5.0283	-0.84375	3.7481	-3.3851	5.7491	-1.0309	3.5892	3.9866	8.2846	-0.5239	2.54725	0.45085	3.3083	"069"	"Incorrect"
"20"	-362	2.14885	1.99935	3.4596	1.16565	1.3108	0.27755	5.63805	1.65055	4.10945	-1.87025	3.48035	-4.07105	5.6093	-1.34745	3.8551	3.4945	7.80615	-0.63045	2.61625	0.8212	3.97985	"069"	"Incorrect"
"21"	-360	0.69135	0.6045	2.3279	0.27095	0.7291	-1.18675	4.71535	0.2	3.0483	-3.02315	2.89485	-4.98145	4.9519	-2.08045	3.3514	2.6027	6.8513	-1.1668	2.1716	0.594	3.99615	"069"	"Incorrect"
"22"	-358	-1.00095	-1.05175	0.8831	-0.9292	-0.3074	-2.6093	3.4312	-1.31465	1.74635	-4.30145	1.8936	-6.12535	3.87595	-3.18855	2.27725	1.14155	5.2782	-2.13995	1.14375	-0.1887	3.39275	"069"	"Incorrect"
"23"	-356	-2.831	-2.73165	-0.56645	-2.0508	-1.2766	-3.9617	1.91805	-2.6281	0.32105	-5.4274	0.62055	-7.15265	2.6909	-4.139	1.06555	-0.61895	3.55485	-3.1876	-0.11105	-1.01735	2.59415	"069"	"Incorrect"
"24"	-354	-4.12635	-3.9079	-1.60895	-2.6871	-1.65535	-5.10565	0.61515	-3.45225	-0.87875	-6.01235	-0.47185	-7.6216	1.8522	-4.45045	0.31905	-1.9	2.5469	-3.7799	-0.9418	-1.291	2.22165	"069"	"Incorrect"
"25"	-352	-4.3502	-4.27615	-2.0288	-2.79485	-1.579	-5.59665	-0.1225	-3.5812	-1.6648	-5.8885	-1.21105	-7.40795	1.3468	-4.1861	-0.10185	-2.3661	2.3832	-3.86865	-1.30795	-1.11445	2.21545	"069"	"Incorrect"
"26"	-350	-3.32405	-3.6963	-1.74725	-2.5371	-1.4411	-4.58935	-0.08385	-2.5436	-1.8841	-4.88195	-1.6207	-6.60905	0.9911	-3.6505	-0.72945	-2.089	2.6866	-3.607	-1.53635	-1.01015	1.9961	"069"	"Incorrect"
"27"	-348	-1.8128	-2.57865	-1.02255	-2.03165	-1.1757	-2.2495	0.235	-0.4436	-1.74275	-3.19125	-1.8251	-5.3808	0.8283	-2.8394	-1.3222	-1.36495	3.0335	-3.05115	-1.67635	-0.96285	1.60125	"069"	"Incorrect"
"28"	-346	-0.6514	-1.5515	-0.2144	-1.35185	-0.5827	0.3847	0.3141	1.9245	-1.55875	-1.4265	-1.8954	-4.0256	0.98225	-1.7289	-1.34305	-0.3451	3.37265	-2.0981	-1.4687	-0.51125	1.6548	"069"	"Incorrect"
"29"	-344	0.0850499999999998	-0.91665	0.3857	-0.73365	0.20825	2.3381	0.1751	3.5652	-1.4603	-0.27095	-1.8181	-3.05225	1.414	-0.70465	-0.7823	0.83645	3.80765	-0.92185	-0.944399999999999	0.3128	2.23525	"069"	"Incorrect"
"30"	-342	0.26125	-0.9261	0.41665	-0.576449999999999	0.7311	2.9874	-0.28515	3.7705	-1.68725	-0.21085	-1.8473	-2.88245	1.6596	-0.31525	-0.2454	1.66035	4.00915	-0.14205	-0.61905	0.92475	2.73385	"069"	"Incorrect"
"31"	-340	-0.56795	-1.85465	-0.44125	-1.2393	0.33735	2.2423	-1.3619	2.6177	-2.54835	-1.26185	-2.49085	-3.6304	1.0419	-0.7834	-0.66105	1.483	3.42315	-0.3519	-1.07905	0.72335	2.4145	"069"	"Incorrect"
"32"	-338	-2.1884	-3.41295	-1.89155	-2.46085	-0.77025	0.5437	-2.84285	0.8301	-3.90505	-2.8095	-3.65945	-4.7384	-0.323449999999999	-1.50915	-1.94315	0.11125	1.9073	-1.61875	-2.4712	-0.3427	1.12755	"069"	"Incorrect"
"33"	-336	-3.7613	-4.8821	-3.20625	-3.53795	-1.71555	-1.36675	-4.16185	-0.7797	-5.17285	-4.06165	-4.6792	-5.4862	-1.60735	-1.79855	-3.09475	-1.7877	0.0934999999999999	-3.24875	-4.20465	-1.6168	-0.41255	"069"	"Incorrect"
"34"	-334	-4.97335	-6.03705	-4.16075	-4.37065	-2.3959	-3.1191	-5.058	-1.98415	-6.08515	-4.93165	-5.37275	-5.96655	-2.4744	-1.8625	-3.8835	-3.4695	-1.39215	-4.6934	-5.6997	-2.6459	-1.6747	"069"	"Incorrect"
"35"	-332	-6.07485	-7.08165	-4.9132	-5.13085	-3.01085	-4.8859	-5.7749	-3.0669	-6.87305	-5.74955	-5.96475	-6.49375	-3.05125	-2.01485	-4.5241	-4.93125	-2.66815	-5.98515	-6.8876	-3.3956	-2.59205	"069"	"Incorrect"
"36"	-330	-7.0085	-7.8714	-5.2802	-5.4957	-3.31435	-6.36655	-6.61485	-3.8686	-7.52085	-6.2189	-6.3212	-6.78325	-3.2461	-1.9869	-4.8302	-6.3227	-3.9477	-6.99975	-7.71435	-3.7389	-3.08375	"069"	"Incorrect"
"37"	-328	-7.3834	-7.9627	-4.90695	-5.15355	-3.0772	-6.6316	-7.27435	-3.77385	-7.6311	-5.82325	-6.0808	-6.42375	-2.89825	-1.5677	-4.55785	-7.24555	-4.86715	-7.2473	-7.85855	-3.4329	-2.95185	"069"	"Incorrect"
"38"	-326	-7.1916	-7.38985	-4.01565	-4.3736	-2.45255	-5.7514	-7.3611	-2.9864	-7.2174	-4.8769	-5.3943	-5.60215	-2.2172	-0.99315	-3.86515	-7.38075	-5.14505	-6.65065	-7.288	-2.54575	-2.2239	"069"	"Incorrect"
"39"	-324	-6.67975	-6.6142	-3.1964	-3.73795	-1.89155	-4.75645	-7.0278	-2.4664	-6.7197	-4.2043	-4.85645	-4.94785	-1.63755	-0.6906	-3.21235	-6.7839	-4.83435	-5.7015	-6.38665	-1.5258	-1.3115	"069"	"Incorrect"
"40"	-322	-5.88765	-5.8337	-2.6587	-3.53995	-1.72145	-4.10405	-6.3796	-2.4532	-6.264	-3.99915	-4.6866	-4.6757	-1.45655	-0.78635	-2.96325	-5.61315	-3.9613	-4.7713	-5.4789	-0.7506	-0.6188	"069"	"Incorrect"
"41"	-320	-5.14	-5.16855	-2.3949	-3.6783	-1.94115	-3.77785	-5.5208	-2.5437	-5.78075	-3.96635	-4.75515	-4.61515	-1.67055	-1.17415	-3.1503	-4.5466	-2.96325	-4.1557	-4.88405	-0.4875	-0.41815	"069"	"Incorrect"
"42"	-318	-5.02515	-4.93535	-2.4779	-4.03155	-2.45435	-3.92115	-4.9422	-2.7313	-5.42395	-4.0954	-5.0314	-4.8261	-2.1525	-1.82905	-3.61995	-4.3311	-2.51665	-4.0883	-4.7956	-0.8057	-0.6943	"069"	"Incorrect"
"43"	-316	-5.52935	-5.2469	-2.9099	-4.56	-3.1316	-4.60075	-5.13915	-3.0698	-5.53825	-4.30425	-5.58365	-5.1541	-2.96185	-2.41935	-4.4023	-4.77485	-2.694	-4.3776	-5.05395	-1.34875	-1.2133	"069"	"Incorrect"
"44"	-314	-6.0616	-5.75285	-3.48985	-5.0633	-3.6759	-5.4843	-5.97455	-3.28655	-6.13505	-4.26795	-6.32425	-5.13005	-4.0526	-2.42375	-5.4866	-5.0759	-2.9955	-4.61345	-5.3536	-1.66815	-1.76805	"069"	"Incorrect"
"45"	-312	-6.32865	-6.1173	-3.9873	-5.30725	-3.86665	-6.16635	-6.90575	-3.31015	-6.7908	-4.01175	-6.9482	-4.75335	-4.99915	-1.9352	-6.3991	-5.02445	-3.15965	-4.63815	-5.5241	-1.63885	-2.13855	"069"	"Incorrect"
"46"	-310	-6.65035	-6.53765	-4.58365	-5.5944	-4.1365	-6.61625	-7.92335	-3.44315	-7.50975	-4.01225	-7.48335	-4.6754	-5.6795	-1.83905	-7.02965	-4.89975	-3.3374	-4.57005	-5.63485	-1.512	-2.34185	"069"	"Incorrect"
"47"	-308	-6.50455	-6.55875	-4.84925	-5.70515	-4.35215	-6.26385	-8.554	-3.12745	-7.98435	-3.80465	-7.6407	-4.62045	-5.89335	-2.0313	-7.3278	-4.4357	-3.3744	-4.32615	-5.65845	-1.3899	-2.47565	"069"	"Incorrect"
"48"	-306	-5.09115	-5.4317	-4.0447	-4.9572	-3.78245	-4.6505	-7.9456	-1.70575	-7.47935	-2.63135	-6.8523	-3.741	-5.22095	-1.6246	-6.84585	-3.28755	-2.86535	-3.6401	-5.30765	-1.0115	-2.3107	"069"	"Incorrect"
"49"	-304	-3.12415	-3.7211	-2.7071	-3.74095	-2.7138	-2.61045	-6.60145	0.0277500000000002	-6.2895	-1.09995	-5.5061	-2.48415	-4.0135	-0.78765	-5.81015	-1.7894	-1.97155	-2.62255	-4.5847	-0.3623	-1.7604	"069"	"Incorrect"
"50"	-302	-1.3081	-2.029	-1.3661	-2.4328	-1.34625	-0.707	-5.10155	1.50895	-4.86815	0.2375	-3.9606	-1.26145	-2.56315	0.385549999999999	-4.4321	-0.4878	-1.2095	-1.6437	-3.83085	0.32745	-1.0475	"069"	"Incorrect"
"51"	-300	-0.1209	-0.843	-0.47395	-1.4524	-0.1191	0.7301	-3.7678	2.5269	-3.60635	1.0183	-2.5945	-0.4154	-1.289	1.397	-3.22095	0.259	-0.857	-1.00475	-3.3521	0.74025	-0.5188	"069"	"Incorrect"
"52"	-298	-0.34575	-0.978	-0.777	-1.55825	0.00780000000000047	0.9396	-3.48725	2.37355	-3.30315	0.56035	-2.2531	-0.7131	-0.9507	1.1454	-3.09135	0.25125	-1.0689	-0.91425	-3.33275	0.62635	-0.4076	"069"	"Incorrect"
"53"	-296	-1.95275	-2.39445	-2.09875	-2.5672	-0.821800000000001	-0.3221	-4.4515	0.831	-4.1503	-1.03235	-3.07105	-1.96185	-1.55705	-0.1708	-3.95725	-0.667800000000001	-2.0315	-1.5018	-3.87515	0.0539500000000004	-0.713550000000001	"069"	"Incorrect"
"54"	-294	-4.2939	-4.48005	-3.97655	-4.18885	-2.39665	-2.46725	-6.11615	-1.5987	-5.8736	-3.2184	-4.82125	-3.73465	-3.1311	-2.0731	-5.8153	-2.33955	-3.631	-2.77555	-5.079	-1.0269	-1.6833	"069"	"Incorrect"
"55"	-292	-6.15315	-6.15925	-5.6442	-5.8441	-4.21015	-3.9708	-7.3353	-3.61225	-7.4864	-5.08995	-6.68635	-5.42175	-5.02185	-3.9631	-8.0934	-3.6304	-4.8216	-4.03815	-6.32865	-2.22245	-2.95165	"069"	"Incorrect"
"56"	-290	-6.5339	-6.44475	-6.0592	-6.38005	-4.89975	-3.7786	-7.176	-4.02995	-7.72885	-5.60425	-7.31415	-5.97655	-5.7147	-4.68585	-9.14405	-3.78015	-4.8236	-4.472	-6.71685	-2.6566	-3.49125	"069"	"Incorrect"
"57"	-288	-6.04315	-5.8402	-5.5037	-5.96565	-4.51705	-2.85975	-6.2937	-3.35805	-6.84095	-5.0876	-6.7615	-5.66325	-5.2587	-4.42205	-8.8797	-3.48625	-4.2341	-4.26425	-6.35605	-2.35205	-3.2366	"069"	"Incorrect"
"58"	-286	-5.59935	-5.2106	-4.8846	-5.4712	-4.0145	-2.3462	-5.6334	-2.63955	-5.7736	-4.472	-6.0151	-5.3845	-4.6061	-4.1367	-8.2646	-3.4165	-3.79105	-3.9722	-5.82235	-1.88925	-2.7137	"069"	"Incorrect"
"59"	-284	-5.2152	-4.6185	-4.3396	-5.0295	-3.48125	-2.2919	-5.2389	-2.17575	-4.80795	-3.9816	-5.4053	-5.21625	-3.95365	-3.92865	-7.5657	-3.6199	-3.5798	-3.8232	-5.3434	-1.51815	-2.14995	"069"	"Incorrect"
"60"	-282	-4.3615	-3.69625	-3.48095	-4.3478	-2.71635	-2.2592	-4.38345	-1.7086	-3.6141	-3.3632	-4.58355	-4.8219	-3.1239	-3.48455	-6.67455	-3.60515	-3.02485	-3.55225	-4.6551	-1.0843	-1.44875	"069"	"Incorrect"
"61"	-280	-2.81905	-2.28725	-2.2478	-3.30675	-1.78945	-1.83935	-2.56355	-1.0058	-1.9658	-2.48315	-3.2852	-4.1054	-2.0275	-2.8203	-5.5221	-2.8343	-1.60125	-2.7522	-3.4103	-0.3317	-0.36795	"069"	"Incorrect"
"62"	-278	-0.89415	-0.60005	-0.99105	-2.20865	-0.9586	-0.93505	-0.14575	-0.18195	-0.0832000000000002	-1.5454	-1.71315	-3.3859	-0.83905	-2.2904	-4.27115	-1.40165	0.4601	-1.52765	-1.76615	0.5557	0.9576	"069"	"Incorrect"
"63"	-276	1.0775	1.1866	0.241	-1.1755	-0.13085	0.4047	2.2765	0.7014	1.7762	-0.7141	-0.0806500000000001	-2.68455	0.42975	-1.81155	-2.87245	0.3408	2.5959	-0.2159	-0.09175	1.36705	2.2534	"069"	"Incorrect"
"64"	-274	2.6298	2.66995	1.2855	-0.27565	0.8039	1.6739	4.08265	1.42655	3.21275	-0.16525	1.30195	-1.97495	1.70385	-1.2491	-1.3368	2.0137	4.347	0.9498	1.32225	2.12935	3.46345	"069"	"Incorrect"
"65"	-272	3.4911	3.41265	1.73395	0.1588	1.38945	2.2644	4.92465	1.68575	3.83135	-0.1062	1.97435	-1.69365	2.42675	-0.9769	-0.25495	3.17165	5.3715	1.555	2.0726	2.4735	4.19005	"069"	"Incorrect"
"66"	-270	3.8149	3.4591	1.57655	0.02155	1.2604	2.1134	5.04105	1.4882	3.70135	-0.48405	1.8521	-1.99405	2.3226	-1.15145	-0.0532999999999997	3.6792	5.71475	1.40355	2.00445	2.09135	4.0269	"069"	"Incorrect"
"67"	-268	3.5969	2.96495	0.97575	-0.4917	0.53005	1.2879	4.63665	0.889149999999999	3.02185	-1.1611	1.1683	-2.6472	1.67005	-1.61	-0.6171	3.61935	5.6216	0.74395	1.3681	1.25465	3.18595	"069"	"Incorrect"
"68"	-266	2.59075	1.95175	0.04525	-1.05615	-0.3253	-0.2026	3.5819	-0.1105	1.8891	-2.0757	0.19965	-3.4048	0.9204	-2.14095	-1.4027	2.7497	4.8649	-0.3139	0.3569	0.2989	2.09305	"069"	"Incorrect"
"69"	-264	1.04145	0.71055	-0.92105	-1.3769	-0.80935	-1.81995	1.97995	-1.14015	0.57135	-2.9041	-0.67105	-3.91005	0.45505	-2.4898	-1.8496	1.1793	3.4306	-1.5194	-0.73855	-0.46425	1.20675	"069"	"Incorrect"
"70"	-262	-0.24615	-0.2303	-1.48315	-1.2713	-0.71215	-2.67245	0.45595	-1.6651	-0.5201	-3.1305	-1.07515	-3.83865	0.4414	-2.36655	-1.79755	-0.15175	2.14545	-2.2203	-1.3799	-0.6331	0.9881	"069"	"Incorrect"
"71"	-260	-1.18755	-0.9589	-1.754	-1.04045	-0.3497	-2.88145	-0.93415	-1.968	-1.4306	-3.00705	-1.2137	-3.5225	0.5685	-2.01445	-1.5883	-0.7502	1.45315	-2.2448	-1.43375	-0.21495	1.4167	"069"	"Incorrect"
"72"	-258	-2.2232	-1.8608	-2.1196	-1.10355	-0.14755	-3.2071	-2.4923	-2.455	-2.34465	-3.06465	-1.43225	-3.459	0.57425	-2.02455	-1.49265	-1.1656	0.8497	-2.0975	-1.34785	0.26355	1.9902	"069"	"Incorrect"
"73"	-256	-3.13185	-2.73325	-2.4429	-1.36165	-0.17665	-3.629	-3.6863	-2.87345	-3.03595	-3.2177	-1.60645	-3.61525	0.56885	-2.51895	-1.47695	-1.74395	0.13435	-2.08255	-1.41545	0.38005	2.2958	"069"	"Incorrect"
"74"	-254	-3.5115	-3.23015	-2.53495	-1.65685	-0.37625	-3.77495	-4.1318	-2.97745	-3.4501	-3.1866	-1.67155	-3.7762	0.5076	-3.1511	-1.63105	-2.26605	-0.426	-2.1353	-1.6128	0.1141	2.22835	"069"	"Incorrect"
