"Time"	"FZ"	"FCZ"	"CZ"	"CPZ"	"PZ"	"F3"	"F4"	"FC3"	"FC4"	"C3"	"C4"	"CP3"	"CP4"	"P3"	"P4"	"F1"	"F2"	"C1"	"C2"	"P1"	"P2"	"Subject"	"Condition"
"1"	-400	0.99036	1.0779	-0.3248	-0.95832	-0.72512	-0.17068	1.04672	-0.09788	0.9099	-0.1637	0.13462	-0.40728	-0.66638	-0.61134	-1.07374	0.18264	0.44768	-0.93386	-1.40532	-1.72394	-2.55054	"008"	"Incorrect"
"2"	-398	0.68804	0.60248	-0.80522	-1.5049	-1.2335	-0.63346	0.7503	-0.60258	0.46552	-0.7441	-0.24692	-1.03402	-1.00546	-1.2952	-1.51606	0.0792	0.38812	-1.21546	-1.57526	-2.05208	-2.69968	"008"	"Incorrect"
"3"	-396	0.31742	0.08186	-1.28704	-2.09758	-1.77506	-1.10198	0.3933	-1.0938	-0.0776399999999999	-1.28252	-0.62456	-1.6365	-1.39992	-2.00744	-2.06884	-0.0919	0.2349	-1.5693	-1.81464	-2.4979	-2.96338	"008"	"Incorrect"
"4"	-394	0.05872	-0.2467	-1.58964	-2.42632	-2.00552	-1.38616	0.10234	-1.36376	-0.51988	-1.5397	-0.81722	-1.90162	-1.59474	-2.34542	-2.34646	-0.32542	0.0368800000000001	-1.91262	-2.05386	-2.89508	-3.18332	"008"	"Incorrect"
"5"	-392	-0.0876	-0.37964	-1.71166	-2.4669	-1.93306	-1.50054	-0.09746	-1.45402	-0.77968	-1.51326	-0.85468	-1.82228	-1.5703	-2.29366	-2.3469	-0.55852	-0.11198	-2.148	-2.19824	-3.11078	-3.24154	"008"	"Incorrect"
"6"	-390	-0.24436	-0.48574	-1.76008	-2.3712	-1.774	-1.58988	-0.25392	-1.53764	-0.93146	-1.42672	-0.86234	-1.64688	-1.48124	-2.103	-2.25204	-0.8099	-0.26142	-2.3127	-2.28224	-3.20212	-3.18816	"008"	"Incorrect"
"7"	-388	-0.43976	-0.63468	-1.7979	-2.20554	-1.64034	-1.71476	-0.3987	-1.69254	-1.03326	-1.44976	-0.9011	-1.52892	-1.42322	-1.90904	-2.13482	-1.14262	-0.48438	-2.50488	-2.40406	-3.30084	-3.1501	"008"	"Incorrect"
"8"	-386	-0.6309	-0.84016	-1.91892	-2.08592	-1.61396	-1.89528	-0.56364	-1.94008	-1.15352	-1.59286	-1.03566	-1.53332	-1.45602	-1.794	-2.11404	-1.54402	-0.73148	-2.7253	-2.58568	-3.45166	-3.1977	"008"	"Incorrect"
"9"	-384	-0.88898	-1.19536	-2.2241	-2.16178	-1.771	-2.17006	-0.84182	-2.27044	-1.42634	-1.8585	-1.34366	-1.72946	-1.65604	-1.87058	-2.31256	-1.9985	-1.01556	-2.97286	-2.85828	-3.66714	-3.35658	"008"	"Incorrect"
"10"	-382	-1.23016	-1.62736	-2.5628	-2.28672	-1.97236	-2.42134	-1.20696	-2.51706	-1.78672	-2.10684	-1.69258	-1.92844	-1.92866	-1.97834	-2.59342	-2.51338	-1.404	-3.23406	-3.21074	-3.8892	-3.58768	"008"	"Incorrect"
