"Time"	"FZ"	"FCZ"	"CZ"	"CPZ"	"PZ"	"F3"	"F4"	"FC3"	"FC4"	"C3"	"C4"	"CP3"	"CP4"	"P3"	"P4"	"F1"	"F2"	"C1"	"C2"	"P1"	"P2"	"Subject"	"Condition"
"1"	-400	0.920262499999999	4.0649125	3.4648375	2.404875	2.038075	-1.05355	0.4066125	-1.072125	1.9425625	-1.0294	3.221725	-1.7144625	2.692375	-2.895425	1.9764	-9.6127375	-7.826	-2.8112625	-1.820825	-2.9059625	-1.7032125	"088"	"Incorrect"
"2"	-398	-1.3307	2.4197	2.2999625	1.6202875	1.5514	-3.1621375	-1.5118125	-3.0394875	0.666525	-2.3452125	2.1792	-2.60695	1.8845625	-3.0949	1.3977125	-11.93145	-9.7896125	-3.8851375	-2.7743125	-3.38045	-2.155425	"088"	"Incorrect"
"3"	-396	-2.4029375	1.4603625	1.5649625	0.9709125	0.966425	-4.081225	-2.14135	-3.9002625	0.00429999999999994	-3.038725	1.52965	-3.2013875	1.1595625	-3.3359125	0.65945	-12.4980875	-10.182975	-4.4802125	-3.2274375	-3.7959	-2.55995	"088"	"Incorrect"
"4"	-394	-1.769525	1.612575	1.5698625	0.7440375	0.576425	-3.4005	-1.230525	-3.272175	0.212325	-2.8767375	1.524025	-3.2273125	0.804275	-3.3896625	0.0699249999999997	-10.8773125	-8.654475	-4.333575	-2.9706	-3.969125	-2.7559	"088"	"Incorrect"
"5"	-392	-0.0252874999999999	2.500775	2.1056	0.8907875	0.4550125	-1.7799875	0.498525	-1.794975	0.923325	-2.132925	1.9305125	-2.7720375	0.7802	-3.2052125	-0.2635	-7.857725	-5.9226375	-3.60895	-2.1786875	-3.8403125	-2.6625125	"088"	"Incorrect"
"6"	-390	2.3380625	3.8855125	3.020325	1.39855	0.656825	0.297575	2.5201875	0.1457125	2.11215	-1.0048875	2.7228125	-1.979	1.076725	-2.76855	-0.2433875	-4.15465	-2.584625	-2.3774125	-0.896125	-3.328025	-2.17865	"088"	"Incorrect"
"7"	-388	4.7196375	5.446	4.0914375	2.2056375	1.25585	2.2591875	4.528275	2.060425	3.497025	0.175875	3.76895	-1.01525	1.6584875	-1.9358	0.2165	-0.79795	0.511625	-1.077375	0.495675	-2.6030875	-1.4781	"088"	"Incorrect"
"8"	-386	6.6407625	6.84805	5.1293125	3.1962125	2.2397625	3.646425	6.373675	3.4439125	4.737275	1.1664375	4.8157125	0.0755249999999999	2.4490125	-0.557475	1.099	1.38675	2.6521375	-0.17485	1.5549125	-1.8269875	-0.772925	"088"	"Incorrect"
"9"	-384	8.182975	8.1273875	6.1569625	4.3206875	3.48175	4.711075	8.063325	4.4743	6.0019375	2.1674	5.906275	1.3758875	3.44435	1.1927375	2.2907625	2.602875	3.9499375	0.4255875	2.324725	-0.9524125	-0.0449500000000003	"088"	"Incorrect"
"10"	-382	9.5527375	9.330375	7.1038875	5.316225	4.5632	5.8013	9.730225	5.5192875	7.239625	3.26905	6.982475	2.6528	4.4235125	2.58615	3.39475	3.5540875	4.987275	1.0233125	3.00875	-0.0923875000000002	0.6788125	"088"	"Incorrect"
"11"	-380	10.9621375	10.4843625	7.8871375	5.9582	5.1268625	7.145875	11.455775	6.8400125	8.3338	4.3939	7.914625	3.6398	5.16165	3.142275	4.091675	4.915375	6.383125	1.85995	3.806475	0.640625	1.3401375	"088"	"Incorrect"
"12"	-378	12.9551875	11.9275	8.7721625	6.5239875	5.4274375	9.25915	13.4377625	8.9002125	9.72395	5.7676	8.9237375	4.5662875	5.88485	3.29115	4.6487	7.3773	8.71575	3.24395	5.0117	1.473025	2.0798	"088"	"Incorrect"
"13"	-376	15.0407625	13.3389875	9.609875	7.0369125	5.7033125	11.52165	15.0840375	11.0904625	11.2066	7.0559875	9.8389875	5.3936125	6.6303375	3.3694125	5.25195	9.9298125	11.054375	4.777975	6.2439375	2.385725	2.8006625	"088"	"Incorrect"
"14"	-374	15.410425	13.4339375	9.457525	6.77485	5.423975	12.0342375	14.8955625	11.601125	11.6013375	7.1520125	9.795075	5.3512625	6.69435	2.8810875	5.3113375	10.2282125	11.3125625	5.2513875	6.4216875	2.691175	2.8788625	"088"	"Incorrect"
"15"	-372	13.5037875	11.8548	8.0614125	5.526825	4.325125	10.3423	12.8422	9.9888375	10.4744375	5.8919875	8.61355	4.2547125	5.7919	1.69065	4.528875	7.9658625	9.256025	4.30805	5.34485	2.0790875	2.1331375	"088"	"Incorrect"
