"Time"	"FZ"	"FCZ"	"CZ"	"CPZ"	"PZ"	"F3"	"F4"	"FC3"	"FC4"	"C3"	"C4"	"CP3"	"CP4"	"P3"	"P4"	"F1"	"F2"	"C1"	"C2"	"P1"	"P2"	"Subject"	"Condition"
"1"	-400	-4.9986875	-8.045875	-7.334775	-5.840675	-7.8042375	-5.7931375	-6.64925	-5.851875	-6.455425	-6.0843625	-6.319475	-3.6776375	-5.3452625	-2.34435	-3.965825	-8.266025	-6.425625	-7.0944375	-6.9453875	-4.8299625	-5.8412125	"116"	"Incorrect"
"2"	-398	-4.77215	-7.8464625	-7.1540875	-5.4995125	-7.482375	-5.5127	-6.526175	-5.7148375	-6.2229875	-5.8122375	-6.060325	-3.4411125	-4.990275	-2.1144625	-3.6408	-8.0184	-6.1881125	-6.6759875	-6.646	-4.4805875	-5.48015	"116"	"Incorrect"
"3"	-396	-4.1932625	-7.2338875	-6.613575	-4.77875	-6.7286875	-4.8152875	-6.0855875	-5.17795	-5.60205	-5.2092	-5.4538875	-2.8341875	-4.2908625	-1.5126625	-2.9760625	-7.620475	-5.862975	-6.1711625	-6.2431625	-4.0346	-5.01285	"116"	"Incorrect"
"4"	-394	-3.459375	-6.3606125	-5.8384	-3.8614625	-5.756625	-3.952925	-5.4815125	-4.3950875	-4.813025	-4.4058875	-4.6563375	-2.0416375	-3.4216	-0.73255	-2.1605875	-7.16935	-5.509325	-5.6205875	-5.7706875	-3.520475	-4.4838	"116"	"Incorrect"
"5"	-392	-2.839075	-5.52895	-5.0749375	-3.0664125	-4.9228125	-3.22775	-4.9645375	-3.6452875	-4.1351125	-3.685625	-3.9198125	-1.393575	-2.6671625	-0.1127625	-1.4824625	-6.661725	-5.120225	-5.062325	-5.24225	-2.99635	-3.9293625	"116"	"Incorrect"
"6"	-390	-2.3133375	-4.7870125	-4.3168375	-2.3642875	-4.2231125	-2.6065375	-4.5154	-2.913475	-3.579725	-3.03315	-3.2576875	-0.8177125	-2.030625	0.413525	-0.9316625	-5.9215875	-4.5243875	-4.3329875	-4.5141125	-2.322375	-3.2299	"116"	"Incorrect"
"7"	-388	-1.949375	-4.2244625	-3.6698625	-1.8057	-3.6814625	-2.1682625	-4.1793625	-2.2620625	-3.185825	-2.4709625	-2.727425	-0.2785625	-1.5408875	0.8524	-0.54625	-5.1475875	-3.8752125	-3.5633125	-3.731425	-1.6370875	-2.5488625	"116"	"Incorrect"
"8"	-386	-1.8847625	-3.9537375	-3.300625	-1.52705	-3.4155875	-2.0776625	-4.0924875	-1.88795	-3.0260125	-2.140225	-2.4581125	0.03515	-1.3066375	1.0311125	-0.417775	-4.6821	-3.4956125	-3.0614375	-3.202625	-1.2532	-2.187625	"116"	"Incorrect"
"9"	-384	-2.05885	-3.944625	-3.192025	-1.4654625	-3.3871625	-2.3079875	-4.2102125	-1.846375	-3.0386375	-2.0772875	-2.4269125	0.083225	-1.2911875	1.01545	-0.464475	-4.5053125	-3.373575	-2.8464625	-2.942125	-1.1481625	-2.1347	"116"	"Incorrect"
"10"	-382	-2.324675	-4.10735	-3.27345	-1.5166375	-3.4822375	-2.695075	-4.3922375	-2.0377625	-3.133325	-2.1307375	-2.5257375	0.0129	-1.42315	1.008875	-0.584075	-4.4790375	-3.3839125	-2.8200875	-2.8604	-1.1859875	-2.287925	"116"	"Incorrect"
"11"	-380	-2.6779625	-4.4063875	-3.579875	-1.7473875	-3.7383625	-3.1613875	-4.630025	-2.3828375	-3.3809125	-2.185975	-2.7699	-0.1535125	-1.7531625	0.9432375	-0.8494875	-4.637975	-3.571375	-2.976675	-2.997125	-1.3855	-2.6617375	"116"	"Incorrect"
"12"	-378	-3.1877375	-4.8951125	-4.1421875	-2.23195	-4.2134875	-3.7631375	-4.9887375	-2.86025	-3.87715	-2.3299	-3.2419125	-0.4772875	-2.3309375	0.6532375	-1.3669	-5.0009875	-3.952475	-3.2909	-3.3628125	-1.71745	-3.1980375	"116"	"Incorrect"
"13"	-376	-3.7003	-5.4091125	-4.6766625	-2.7394	-4.6504625	-4.359775	-5.2869375	-3.28065	-4.409475	-2.474175	-3.7494625	-0.756125	-2.90915	0.372225	-1.9102625	-5.3388625	-4.3308125	-3.5738625	-3.7630125	-1.9455875	-3.65405	"116"	"Incorrect"
"14"	-374	-4.1454375	-5.797425	-5.0110875	-3.112775	-4.8602125	-4.8626875	-5.4561625	-3.59295	-4.8326625	-2.5808625	-4.155125	-0.88655	-3.3170875	0.2785	-2.23645	-5.5714375	-4.64225	-3.7904125	-4.1249125	-1.9956875	-3.9517125	"116"	"Incorrect"
