"Time"	"FZ"	"FCZ"	"CZ"	"CPZ"	"PZ"	"F3"	"F4"	"FC3"	"FC4"	"C3"	"C4"	"CP3"	"CP4"	"P3"	"P4"	"F1"	"F2"	"C1"	"C2"	"P1"	"P2"	"Subject"	"Condition"
"1"	-400	-6.750175	-9.472125	-7.6811	-5.7391	-5.120025	-8.448975	-8.4737	-2.0089	-8.4974	-4.135775	-8.37935	-5.026925	-6.6105	-2.0071	-4.901325	-3.82835	-14.28135	-6.875475	-7.453225	-5.814125	-4.379	"034"	"Incorrect"
"2"	-398	-6.07715	-9.090125	-7.424025	-5.60155	-4.90555	-9.664875	-6.948225	-3.590075	-7.735325	-5.100075	-7.590075	-5.072025	-5.82785	-1.9056	-4.41355	-2.48215	-13.6367	-5.5321	-5.9534	-4.580375	-3.037725	"034"	"Incorrect"
"3"	-396	-4.605	-7.932225	-6.447625	-4.72825	-3.954475	-9.316125	-4.773475	-4.405675	-5.863975	-4.918925	-5.694675	-4.33355	-4.13885	-0.9483	-3.078025	-1.228325	-12.64915	-4.310425	-4.4278	-3.433025	-1.729275	"034"	"Incorrect"
"4"	-394	-2.591025	-6.263725	-5.05925	-3.53705	-2.8472	-7.01875	-2.709225	-4.070075	-3.307975	-3.74915	-3.0884	-3.043275	-2.1885	0.174225	-1.663825	-0.653125	-12.329225	-3.80305	-3.598375	-3.232075	-1.355825	"034"	"Incorrect"
"5"	-392	-1.5183	-5.4814	-4.58795	-3.32425	-2.89235	-4.28695	-2.229225	-3.820475	-1.84255	-3.09365	-1.5788	-2.5294	-1.526075	0.10205	-1.5272	-1.404	-13.3773	-4.41385	-4.003675	-4.379	-2.344475	"034"	"Incorrect"
"6"	-390	-2.430875	-6.57625	-5.9526	-4.88045	-4.722275	-2.974475	-4.445225	-4.782275	-3.077575	-3.755225	-2.8076	-3.55285	-3.2276	-1.513575	-3.4418	-3.652775	-15.8953	-6.13015	-5.8477	-6.596375	-4.549975	"034"	"Incorrect"
"7"	-388	-4.422925	-8.668925	-8.33095	-7.448175	-7.58965	-3.432025	-7.6754	-6.534375	-5.9117	-5.2039	-5.683175	-5.66195	-6.296725	-4.133975	-6.544375	-6.4739	-18.838525	-8.3132	-8.426475	-9.2586	-7.3151	"034"	"Incorrect"
"8"	-386	-5.873775	-10.16835	-10.09815	-9.486725	-10.020825	-4.22085	-9.400975	-7.7753	-8.16275	-6.072625	-7.99625	-7.1643	-8.8848	-6.3002	-9.215625	-8.656275	-21.379425	-9.984575	-10.6624	-11.4924	-9.811875	"034"	"Incorrect"
"9"	-384	-6.4578	-10.831425	-10.96785	-10.648925	-11.50485	-4.5426	-9.610225	-8.41085	-9.536875	-6.3956	-9.381	-7.70525	-10.527275	-7.399225	-10.979125	-9.870725	-23.081925	-10.75255	-12.1355	-12.8047	-11.5805	"034"	"Incorrect"
"10"	-382	-6.4785	-10.9792	-11.3023	-11.2611	-12.24325	-4.504825	-9.217625	-8.450225	-10.451375	-6.48175	-10.2695	-7.949825	-11.5172	-7.92125	-12.004825	-10.2559	-23.34375	-10.83325	-12.926625	-13.417175	-12.6321	"034"	"Incorrect"
"11"	-380	-6.32825	-10.883275	-11.335725	-11.523925	-12.491075	-4.659875	-9.05595	-7.7405	-11.114525	-6.12065	-10.94765	-7.901775	-12.11365	-8.03095	-12.48635	-10.183525	-22.83605	-10.7439	-13.4463	-13.811175	-13.3727	"034"	"Incorrect"
