"Time"	"FZ"	"FCZ"	"CZ"	"CPZ"	"PZ"	"F3"	"F4"	"FC3"	"FC4"	"C3"	"C4"	"CP3"	"CP4"	"P3"	"P4"	"F1"	"F2"	"C1"	"C2"	"P1"	"P2"	"Subject"	"Condition"
"1"	-400	7.792175	7.501225	5.165625	3.900675	2.815275	6.9233125	7.5513125	6.1472	6.087675	4.3936875	4.1903875	4.1454875	2.133925	4.60925	1.9707875	4.8077875	5.3166625	3.511625	2.87275	1.088675	0.5681875	"068"	"Incorrect"
"2"	-398	7.206075	7.08745	5.1625375	4.06345	2.8793625	6.637425	6.7894875	6.189725	5.4256875	4.569775	3.6977875	4.4151	1.842575	4.695475	1.712775	4.6687125	5.0753625	3.859075	2.968175	1.41155	0.8298	"068"	"Incorrect"
"3"	-396	5.6314125	5.7345875	4.25945	3.303725	2.077975	5.178525	5.24015	4.9729375	3.87835	3.584725	2.3633125	3.7446375	0.7115375	3.962	0.634325	4.0185625	4.380325	3.77895	2.6802125	1.439175	0.722825	"068"	"Incorrect"
"4"	-394	4.28275	4.68425	3.7033	2.91355	1.7017	3.64955	4.1145625	3.680175	2.6733	2.717625	1.478375	3.41225	0.056625	3.65585	0.0596249999999999	3.4888	3.9739375	3.9930625	2.78555	1.9439375	1.0477375	"068"	"Incorrect"
"5"	-392	3.15	3.9442875	3.4282875	2.771225	1.5631125	2.26575	3.2727125	2.59855	1.9007	2.1500625	1.037525	3.3251125	-0.2420625	3.5573625	-0.228075	3.16185	3.8741125	4.5478875	3.3243	2.87695	1.76345	"068"	"Incorrect"
"6"	-390	1.429575	2.5721	2.403725	1.8248875	0.533275	0.408475	1.6389	0.9405875	0.519775	0.8415	-0.00578749999999998	2.2634375	-1.231	2.41785	-1.2726125	2.2366	3.1207	4.4160125	3.2655	3.0858625	1.8052625	"068"	"Incorrect"
"7"	-388	0.512625	1.853575	1.8862125	1.4035125	0.0460374999999999	-0.6318	0.5332625	-0.0025500000000003	-0.344375	0.0141124999999998	-0.4720125	1.5258125	-1.5969875	1.6574375	-1.6596375	0.95745	1.9375	3.7090875	2.7096	2.6930875	1.3749375	"068"	"Incorrect"
"8"	-386	1.4449125	2.750075	2.8041375	2.3946875	1.0235625	0.154275	1.185825	0.8134625	0.394225	0.6837625	0.4823	2.1549	-0.5342125	2.3212875	-0.6175625	0.2301875	1.2715	3.1939625	2.3912875	2.410775	1.1433	"068"	"Incorrect"
"9"	-384	3.0713625	4.1413625	4.029275	3.5942375	2.1252375	1.84105	2.6136625	2.371025	1.794375	1.7281875	1.750325	2.925625	0.732825	3.0588125	0.5499625	0.435999999999999	1.45015	3.200125	2.6228375	2.438725	1.305075	"068"	"Incorrect"
"10"	-382	4.6488625	5.5272	5.20805	4.7331375	3.1403875	3.7333125	4.10795	4.0706125	3.3462125	2.7685625	3.0496625	3.6216125	1.982	3.6918125	1.7042375	1.4580875	2.3519875	3.904875	3.5453125	3.0868375	2.13725	"068"	"Incorrect"
"11"	-380	5.7983375	6.617625	6.17185	5.753775	4.195625	5.2261625	5.1353875	5.4595125	4.571975	3.7668125	4.1013625	4.5266375	3.06335	4.6263875	2.796225	2.4301	3.1549875	4.689925	4.4316125	3.941275	3.0617	"068"	"Incorrect"
"12"	-378	6.4941875	7.2273625	6.636175	6.348925	4.973925	6.013625	5.64135	6.2522375	5.123325	4.58125	4.5222875	5.505525	3.5337375	5.7164625	3.35755	3.0574625	3.6233375	5.1596875	4.8117875	4.5536375	3.543375	"068"	"Incorrect"
"13"	-376	7.572575	8.0672125	7.16195	6.9655625	5.8043875	6.830075	6.620275	7.0954875	5.8232	5.567725	5.0656125	6.644225	3.9595625	6.9809125	3.8646375	4.0410875	4.5512875	5.7718875	5.2592	5.2508125	4.0226	"068"	"Incorrect"
"14"	-374	9.1358	9.284825	7.9295625	7.79025	6.8501375	7.89805	8.199925	8.0490875	7.0487375	6.5396375	6.13655	7.758325	4.746925	8.2602375	4.659175	5.500275	6.0898875	6.6052875	6.0473875	6.1715625	4.768175	"068"	"Incorrect"
"15"	-372	10.319575	10.1502	8.34255	8.2722375	7.52345	8.494525	9.4959625	8.3313	8.1871375	6.810025	7.1564625	8.327025	5.4266125	8.970675	5.26755	6.885525	7.6766375	7.2979	6.8940125	7.0208875	5.55905	"068"	"Incorrect"
"16"	-370	10.6635375	10.2791	8.0709375	8.0258125	7.367175	8.4057125	9.969625	7.8786125	8.587	6.3340375	7.4629375	8.1190125	5.4789375	8.721225	5.2263625	7.68885	8.709825	7.5014625	7.321225	7.35395	5.96205	"068"	"Incorrect"
"17"	-368	10.506425	9.9598875	7.391175	7.29685	6.631125	8.119575	9.844	7.2794625	8.22465	5.5971375	7.0012625	7.4061	4.96295	7.8089125	4.6409875	7.90355	9.083625	7.22035	7.1674	7.082825	5.8159125	"068"	"Incorrect"
"18"	-366	9.9061375	9.2204125	6.373525	6.1908375	5.4930875	7.620075	9.1092125	6.55735	7.2077125	4.6418375	5.9454	6.281025	3.9947	6.4657875	3.6325375	7.8212875	9.0448875	6.759225	6.711675	6.538425	5.3945	"068"	"Incorrect"
"19"	-364	8.4830875	7.6998375	4.7319	4.4673125	3.735075	6.4525375	7.4265375	5.2447	5.399225	3.1371375	4.23365	4.554625	2.424975	4.5419625	2.0646875	7.3920375	8.523025	6.11265	5.97975	5.7652625	4.7353125	"068"	"Incorrect"
"20"	-362	6.4795375	5.5951625	2.6740125	2.365025	1.5956875	4.8222375	5.235925	3.534025	3.192	1.333325	2.1656	2.57425	0.479825	2.3752125	0.205525	6.5047	7.4308	5.1420875	4.8204125	4.638825	3.6701875	"068"	"Incorrect"
