"Subject"	"Electrode"	"Race"	"MeanAmp"
10	"CPZ"	"White"	5.91970668748374
10	"CZ"	"Black"	8.82005094977882
10	"CZ"	"White"	6.83969739786625
10	"PZ"	"Black"	2.61929099661723
10	"PZ"	"White"	2.6892149882904
11	"C3"	"Black"	3.61758286140089
11	"C3"	"White"	2.18354609613782
11	"C4"	"Black"	2.79300840536512
11	"C4"	"White"	1.1518413726035
11	"CP3"	"Black"	4.08280068554397
11	"CP3"	"White"	3.08988963601
11	"CP4"	"Black"	4.04888154992548
11	"CP4"	"White"	2.28665959988886
11	"CPZ"	"Black"	4.77159836065574
11	"CPZ"	"White"	3.53793134203945
11	"CZ"	"Black"	3.96938640834575
11	"CZ"	"White"	1.81646660183385
11	"PZ"	"Black"	5.23756691505216
11	"PZ"	"White"	5.2208289802723
12	"C3"	"Black"	5.16871890534109
12	"C3"	"White"	3.86778102660575
12	"C4"	"Black"	3.74233252247488
12	"C4"	"White"	2.02065541521096
12	"CP3"	"Black"	4.89635679534638
12	"CP3"	"White"	4.31890526740124
12	"CP4"	"Black"	4.07057038603913
12	"CP4"	"White"	2.75275815640957
12	"CPZ"	"Black"	4.83981607615018
12	"CPZ"	"White"	3.51332246707874
12	"CZ"	"Black"	4.28421906398731
12	"CZ"	"White"	2.97144117172803
12	"PZ"	"Black"	5.01538503437335
12	"PZ"	"White"	4.50614858908895
13	"C3"	"Black"	2.59474457958752
13	"C3"	"White"	2.13754506895655
13	"C4"	"Black"	2.67973231094659
13	"C4"	"White"	2.33980830080666
13	"CP3"	"Black"	1.51221787414067
13	"CP3"	"White"	1.51883112151964
13	"CP4"	"Black"	1.9726206504495
13	"CP4"	"White"	1.60391196981525
13	"CPZ"	"Black"	2.88028751983078
13	"CPZ"	"White"	2.10090065053344
13	"CZ"	"Black"	3.72813056583818
13	"CZ"	"White"	2.88514545927661
13	"PZ"	"Black"	2.10252088841883
13	"PZ"	"White"	1.23270986208691
14	"C3"	"Black"	3.85899587128112
14	"C3"	"White"	2.66024426229508
14	"C4"	"Black"	0.517348724954461
14	"C4"	"White"	0.336051853171775
14	"CP3"	"Black"	5.07687777777777
14	"CP3"	"White"	4.0648085531005
14	"CP4"	"Black"	2.19647877959927
14	"CP4"	"White"	2.83610641482537
14	"CPZ"	"Black"	3.80727537947784
14	"CPZ"	"White"	3.19147854597291
14	"CZ"	"Black"	2.0643003339405
14	"CZ"	"White"	1.40719586600143
14	"PZ"	"Black"	5.9981996660595
14	"PZ"	"White"	5.23501022808268
15	"C3"	"Black"	9.24122058905252
15	"C3"	"White"	6.99515576646534
15	"C4"	"Black"	7.27229749930536
15	"C4"	"White"	5.93787112453264
15	"CP3"	"Black"	8.43010947485413
15	"CP3"	"White"	6.56605375323554
15	"CP4"	"Black"	7.58052153375938
15	"CP4"	"White"	6.07255386827725
15	"CPZ"	"Black"	10.2246092803557
15	"CPZ"	"White"	8.45354460742019
15	"CZ"	"Black"	10.2083793553765
15	"CZ"	"White"	8.47377020419902
15	"PZ"	"Black"	9.40412372881356
15	"PZ"	"White"	8.15593874029336
16	"C3"	"Black"	8.21820396174863
16	"C3"	"White"	6.81026242945445
16	"C4"	"Black"	5.62754128415301
16	"C4"	"White"	4.48075259338888
16	"CP3"	"Black"	7.56846322404372
16	"CP3"	"White"	6.09602407954851
16	"CP4"	"Black"	5.2237
16	"CP4"	"White"	4.45368685837141
16	"CPZ"	"Black"	7.44656800546448
16	"CPZ"	"White"	6.02353472184896
16	"CZ"	"Black"	8.09452010928962
16	"CZ"	"White"	5.94942163396937
16	"PZ"	"Black"	6.68827775956284
16	"PZ"	"White"	5.34556218758398
17	"C3"	"Black"	5.30796904532305
17	"C3"	"White"	2.46885967213115
17	"C4"	"Black"	2.55735647701704
17	"C4"	"White"	0.593654385245896
17	"CP3"	"Black"	4.37615306975249
17	"CP3"	"White"	1.62446676229508
17	"CP4"	"Black"	1.7684056252009
17	"CP4"	"White"	-0.822655040983608
17	"CPZ"	"Black"	4.54955576984893
17	"CPZ"	"White"	1.24997676229508
17	"CZ"	"Black"	4.23555155898425
17	"CZ"	"White"	1.58663221311475
17	"PZ"	"Black"	4.23986801671488
17	"PZ"	"White"	2.85724483606558
18	"C3"	"Black"	7.14259495824312
18	"C3"	"White"	3.44913657228018
18	"C4"	"Black"	6.15238762759047
18	"C4"	"White"	2.30687791356185
18	"CP3"	"Black"	7.03050699041138
18	"CP3"	"White"	4.85179385991058
18	"CP4"	"Black"	6.0862450665017
18	"CP4"	"White"	3.10733952309985
18	"CPZ"	"Black"	7.80614249922673
18	"CPZ"	"White"	3.4777532637854
18	"CZ"	"Black"	8.3437385709867
18	"CZ"	"White"	3.01693657228018
18	"PZ"	"Black"	7.13475453139499
18	"PZ"	"White"	4.53230971684053
19	"C3"	"Black"	7.10297846240814
19	"C3"	"White"	4.93236449063231
19	"C4"	"Black"	4.6514585924251
19	"C4"	"White"	2.92434429156909
19	"CP3"	"Black"	6.34719389485585
19	"CP3"	"White"	4.48144622365339
19	"CP4"	"Black"	4.88230706613906
19	"CP4"	"White"	3.24033533372366
19	"CPZ"	"Black"	6.90562283776145
19	"CPZ"	"White"	4.75228176229508
19	"CZ"	"Black"	7.23586051441492
19	"CZ"	"White"	4.09779786299766
19	"PZ"	"Black"	6.31986876766535
19	"PZ"	"White"	4.92101308548009
20	"C3"	"Black"	2.80547420352614
20	"C3"	"White"	0.867685081967212
20	"C4"	"Black"	4.29584720074235
20	"C4"	"White"	1.60307426229508
20	"CP3"	"Black"	2.02693145685122
20	"CP3"	"White"	1.07609016393443
20	"CP4"	"Black"	3.32178657593566
20	"CP4"	"White"	2.08283881967213
20	"CPZ"	"Black"	2.00491858954531
20	"CPZ"	"White"	1.10674170491804
20	"CZ"	"Black"	3.05145564491185
20	"CZ"	"White"	0.975931049180329
20	"PZ"	"Black"	0.82931707392515
20	"PZ"	"White"	1.00284278688525
21	"C3"	"Black"	0.178577950819672
21	"C3"	"White"	-1.2106517602795
21	"C4"	"Black"	1.16226890710382
21	"C4"	"White"	-0.0833585864015045
21	"CP3"	"Black"	-0.247734153005466
21	"CP3"	"White"	-1.35513233001881
21	"CP4"	"Black"	0.775671284153007
